name	area	block	address	sale_num	build_year	mid_price	image	url	all_num
中贸广场	碑林区	南稍门	南关正街,近友谊西路	141	2012年	15714	https://pic1.ajkimg.com/display/ajk/c8d81fdcd08752134ec377f3769d0e7f/180x135c.jpg	https://m.anjuke.com/xa/community/314275/	4473户
伊顿公馆	碑林区	边家村	白庙路	6	2013年	23536	https://pic1.ajkimg.com/display/ajk/e1420d6ba63afa73fcbf0a91a289a9cd/180x135c.jpg	https://m.anjuke.com/xa/community/398503/	2235户
高山流水星币传说	碑林区	环城南路	仁厚庄南路	84	2013年	20031	https://pic1.ajkimg.com/display/ajk/0b4667aa96a9bd1df8430d3f82d32926/180x135c.jpg	https://m.anjuke.com/xa/community/358246/	2814户
新旅城	碑林区	文艺路	建设西路中段65号	238	2012年	17856	https://pic1.ajkimg.com/display/ajk/d77069a5383434ab2a688f8cd9f77bd8/180x135c.jpg	https://m.anjuke.com/xa/community/378279/	5827户
翡翠明珠	碑林区	南稍门	长安路草场坡甲字50号	149	2012年	16513	https://pic1.ajkimg.com/display/ajk/f12d560e7cd5d032a44e11970d2fcc6f/180x135c.jpg	https://m.anjuke.com/xa/community/300412/	1842户
九锦台	碑林区	何家村	含光北路23号	26	2016年	20296	https://pic1.ajkimg.com/display/ajk/3af481cde1c58e8a4b13a485ea7bb40e/180x135c.jpg	https://m.anjuke.com/xa/community/274775/	2149户
荣城小区	碑林区	体育场	草场坡8号	147	2010年	18072	https://pic1.ajkimg.com/display/ajk/0ddccf58917297be0f75ecd83076926c/180x135c.jpg	https://m.anjuke.com/xa/community/829879/	1623户
万达广场公寓	碑林区	李家村	雁塔路北段8号	222	2008年	13928	https://pic1.ajkimg.com/display/ajk/3df3ce4a75794f53aa28a274d12db58e/180x135c.jpg	https://m.anjuke.com/xa/community/875536/	2903户
兰蒂斯城(三期)	碑林区	西安交通大学	交大街,近北沙坡街	93	2014年	18011	https://pic1.ajkimg.com/display/ajk/bb45820b5f6cc456aff51ee52adb016b/180x135c.jpg	https://m.anjuke.com/xa/community/830908/	2113户
金色城市	碑林区	文艺路	文艺北路50号	99	2011年	15820	https://pic1.ajkimg.com/display/ajk/4cad549e9292c31bf4201cd7753af480/180x135c.jpg	https://m.anjuke.com/xa/community/325268/	1371户
