时间	转发数	评论数	点赞数	微博内容	字数	转发	转发内容	
03-31	18	19	30	海獭宝宝为啥手拉手	0	是	#会动的zoo# 最全海獭科普来啦~~本人的三脚猫翻译，如有不妥请多多指正~1.海獭为啥要手拉手？它们一般是睡觉的时候这么做，在野外，多数同伴待在一起总是更安全，不会被冲走，被捕猎者盯上概率也低一些。2.海獭为啥整天敲敲敲？因为它们好吃硬壳类的海洋生物呀。螃蟹贝壳海胆什么的，不敲怎么打开呢。它们还会使用石头当工具，让进食更高效。最好笑的是，如果它们找到了一块特别衬手的石头，它们会把石头塞进胳肢窝那里，有块松弛的皮毛处，等一下还可以用....像口袋一样3.为什么它们整天都在搓脸？因为要保持毛皮干燥呀。海獭们没有像海豹那么厚的脂肪保暖。只有靠自己超级密集厚实的防水皮毛御寒。经常搓才能保证毛里有充足的空气，可以让自己保持干燥和浮在水面上。【弱弱说一句，海獭爪子因为怕冷所以一直放在眼睛上，这个说法，其实没有科学依据...大多数抓拍到的照片其实在搓毛】4.海獭宝宝为什么天天待在妈妈肚子上？因为刚出生的宝宝身上还是胎毛。只能短暂漂浮在水面上。于是妈妈只能把宝宝放在自己温暖的肚皮上，来保持宝宝温暖和舒适。但是妈妈要去觅食的时候，会用海藻什么的给宝宝绑在固定的地方飘着，防止宝宝飘走（因为自己还不会游泳），回头好找~5.海獭为什么会打斗？年轻的小海獭充满精力无处发泄，会和同龄的小朋友打斗玩耍，来培养社交技能。并且学着成为一只“wild sea otter”【视频油管：Ocean Wise】 宝榛的动物园儿ww的微博视频
03-31	2	98	29	它要过来了吗 	18	否	
03-31	29	24	125	哎呀，真好看	0	是	#最美春天# 俄勒冈海岸不远处看到的日落景象，美得太不现实了，好想去啊#气象在现场# 呆十三的微博视频 
03-31	0	17	18	【下班天气】适合户外运动：预计17-20时，全市多云，偶有小雨，气温19-23℃；相对湿度70%-95%，沿海和高地有短时强风，全市能见度普遍在8公里以上；31日夜间受冷空气影响，气温下降，天气稍凉，注意及时添衣保暖。 深圳市气象台2019年03月31日16时48分发布。网页链接 	257	否	
03-31	1	16	15	图片评论肇庆下冰雹了？！！@肇庆天气 查看图片	0	是	东部大鹏又起雨了，能雨露均沾吗？ 
03-31	5	32	15	东部大鹏又起雨了，能雨露均沾吗？ 	44	否	
03-31	0	8	14	【深圳市取消分区大风预警】风力逐渐减弱，深圳市气象台于2019年03月31日16时05分在盐田区，大鹏新区和东部海区取消大风蓝色预警。网页链接 	140	否	
03-31	7	31	33	【深圳市天气提示】周一天气稍凉周二起气温逐渐上升：受冷空气影响，周一有小雨，沿海和高地有7-8级阵风，天气稍凉，气温18-22℃；周二至下周末（清明假期）多云为主，间有阵雨和轻雾，气温回升。阴晴冷暖变换快，请注意做好疾病控制预防及宣传，清明假期需加强野外用火安全管网页链接 	274	否	
03-31	2	50	54	过去一小时，有33个监测站录到6-7级阵风，强风一阵阵的，出门注意远离广告牌，且不要在临时搭建物等下面逗留。 	103	否	
03-31	1	25	28	太阳公公并不是“雨露均沾” 所以有地方有阳光 有地方没阳光 也是正常的 有阳光的抓紧时间晒晒太阳 说不准什么时候 就飘点小小雨。。。 	126	否	
03-31	2	65	34	目前降雨云团位于我市的东南部，稍后会给大鹏带来降水，另外，受冷空气影响，今天上午开始全市风力自东向西逐渐加大，最大风力可达7-8级，预计大风将持续到明天，4月2日开始风力逐渐减小。大家出行注意安全，远离高层楼宇，广告牌等，注意防风防风防风。 	235	否	
