转发数	评论数	点赞数	字数	类别
18	19	30	0 	活泼
2	98	29	9 	活泼
29	24	125	0 	活泼
0	17	18	129 	正经
1	16	15	0 	活泼
5	32	15	22 	活泼
0	8	14	70 	正经
7	31	33	137 	正经
2	50	54	52 	正经
1	25	28	63 	活泼
2	65	34	118 	正经
1	45	32	0 	活泼
0	22	19	0 	活泼
4	89	38	43 	活泼
4	50	17	137 	正经
1	54	20	0 	活泼
12	100	44	40 	活泼
3	21	15	132 	正经
2	16	25	0 	活泼
3	13	17	81 	正经
14	93	89	11 	活泼
5	81	56	32 	活泼
5	28	24	104 	正经
3	21	22	78 	正经
0	64	40	22 	正经
6	52	30	0 	活泼
3	123	46	37 	活泼
2	35	33	111 	活泼
0	27	14	0 	活泼
2	17	14	122 	正经
8	18	19	146 	正经
0	30	25	39 	正经
8	213	160	201 	活泼
9	146	145	23 	活泼
3	80	49	48 	正经
9	172	122	26 	活泼
3	59	40	68 	活泼
3	26	28	126 	正经
9	16	35	71 	正经
1	34	31	87 	活泼
2	47	46	36 	活泼
2	30	32	87 	活泼
1	23	15	56 	正经
4	113	37	88 	正经
2	40	16	94 	正经
1	23	12	78 	正经
0	18	18	109 	正经
5	48	24	119 	正经
10	87	24	0 	活泼
3	74	37	82 	活泼
6	74	38	42 	活泼
1	34	21	68 	活泼
2	34	24	74 	活泼
1	14	11	72 	正经
5	59	37	45 	活泼
2	12	24	33 	正经
2	15	33	100 	活泼
4	15	29	84 	正经
0	5	11	106 	正经
4	81	51	26 	正经
7	35	41	0 	正经
6	53	49	38 	活泼
22	83	93	109 	活泼
1	4	8	107 	正经
4	29	18	138 	正经
0	8	21	30 	正经
3	30	29	0 	活泼
4	34	65	17 	正经
1	54	60	25 	活泼
7	61	42	107 	正经
2	84	54	23 	活泼
6	63	42	0 	正经
17	33	62	0 	活泼
1	56	55	66 	活泼
2	82	83	35 	活泼
5	11	24	126 	正经
2	12	25	67 	正经
97	176	444	18 	正经
8	113	78	43 	活泼
5	29	40	41 	正经
0	7	14	97 	正经
6	60	25	137 	正经
2	53	50	31 	活泼
3	29	32	38 	活泼
148	37	56	0 	正经
5	27	39	0 	活泼
1	79	40	46 	活泼
6	29	32	87 	正经
5	12	30	66 	正经
1	28	42	10 	正经
18	178	97	13 	正经
6	49	52	0 	活泼
4	57	71	49 	活泼
3	44	45	0 	活泼
0	7	8	100 	正经
5	50	12	129 	正经
0	32	47	33 	活泼
2	59	50	0 	活泼
2	44	56	25 	活泼
5	40	43	22 	正经
0	38	48	0 	活泼
11	84	61	48 	活泼
9	13	29	128 	正经
4	12	31	59 	正经
1	17	15	36 	活泼
3	53	67	64 	活泼
15	113	80	58 	活泼
0	7	10	75 	正经
4	26	29	135 	正经
5	61	36	22 	活泼
1	58	67	52 	活泼
4	73	89	22 	活泼
11	100	138	33 	活泼
10	53	55	75 	活泼
5	43	29	109 	正经
0	12	28	79 	正经
3	7	30	132 	正经
5	5	24	67 	正经
2	34	44	66 	正经
0	8	21	85 	正经
16	53	75	122 	活泼
3	31	26	135 	活泼
4	56	33	84 	活泼
0	17	13	119 	正经
7	38	31	138 	正经
40	17	142	0 	正经
2	21	32	62 	活泼
3	58	77	15 	活泼
2	32	33	45 	活泼
9	80	66	59 	活泼
16	49	85	0 	正经
1	72	57	59 	活泼
58	123	220	35 	正经
7	68	72	94 	活泼
4	12	30	130 	正经
2	8	21	77 	正经
3	60	56	157 	正经
6	124	115	56 	活泼
11	111	76	113 	活泼
2	2	29	0 	活泼
0	9	17	39 	活泼
6	60	51	56 	正经
1	4	18	0 	活泼
0	5	12	138 	正经
3	20	33	130 	正经
4	15	17	0 	活泼
5	16	41	0 	正经
0	31	30	57 	活泼
2	23	14	104 	正经
7	46	75	0 	活泼
9	85	175	36 	活泼
2	59	45	59 	活泼
1	8	120	22 	正经
1	96	46	31 	正经
2	12	102	46 	正经
0	12	17	0 	活泼
3	128	41	0 	活泼
9	91	53	99 	活泼
7	37	38	128 	正经
6	16	22	74 	正经
5	142	49	0 	活泼
19	209	106	9 	正经
13	182	92	96 	正经
3	59	37	131 	活泼
18	144	51	101 	正经
8	123	72	24 	活泼
7	115	87	26 	正经
4	65	30	0 	活泼
5	167	59	0 	活泼
4	74	38	44 	活泼
6	99	46	34 	正经
8	161	81	38 	正经
0	154	38	27 	活泼
1	24	11	67 	正经
7	57	35	0 	活泼
1	39	14	61 	正经
61	98	61	0 	活泼
14	181	107	15 	正经
4	84	49	40 	活泼
3	53	28	49 	活泼
4	34	30	125 	活泼
7	32	36	101 	正经
3	21	29	106 	正经
5	116	67	68 	活泼
8	119	72	27 	活泼
4	40	79	0 	正经
3	12	17	112 	正经
5	75	15	138 	正经
402	324	144	198 	活泼
3	9	14	32 	活泼
2	50	50	0 	活泼
1	45	32	19 	活泼
0	2	8	0 	正经
2	6	65	33 	正经
4	8	30	106 	正经
3	82	38	66 	活泼
4	60	49	57 	活泼
2	10	29	45 	活泼
6	70	35	34 	活泼
4	51	39	60 	活泼
0	9	8	99 	正经
9	50	28	125 	正经
11	97	47	38 	活泼
0	55	30	0 	活泼
7	84	56	45 	活泼
11	38	37	171 	正经
0	71	25	34 	正经
4	101	36	28 	活泼
4	68	54	24 	正经
4	23	24	87 	正经
8	10	23	70 	正经
5	88	77	38 	活泼
8	95	114	17 	正经
9	83	52	112 	活泼
0	4	9	96 	正经
5	25	23	137 	正经
9	80	49	30 	活泼
58	109	213	73 	活泼
5	53	59	27 	活泼
14	117	160	38 	正经
10	36	29	26 	活泼
5	111	90	26 	正经
9	54	76	0 	正经
6	114	103	32 	活泼
5	8	33	98 	正经
3	6	19	66 	正经
7	61	88	32 	活泼
9	24	56	60 	活泼
3	22	35	0 	活泼
5	37	96	9 	活泼
6	23	62	0 	正经
1	10	12	126 	正经
4	28	39	57 	活泼
7	16	27	123 	正经
1	35	36	0 	活泼
4	83	43	67 	活泼
