3K697,新加坡捷星亚洲航空公司,2020/02/05 09:30:00,2020/02/05 09:52:00,新加坡樟宜,2020/02/05 13:35:00,2020/02/05 13:14:00,香港,到达
3U2013,华夏航空有限公司,2020/02/05 08:05:00,--,重庆江北,2020/02/05 09:50:00,--,固原六盘山,取消
3U2013,华夏航空有限公司,2020/02/05 08:05:00,--,重庆江北,2020/02/05 11:25:00,--,银川河东,取消
3U2013,华夏航空有限公司,2020/02/05 10:35:00,--,固原六盘山,2020/02/05 11:25:00,--,银川河东,取消
3U2014,华夏航空有限公司,2020/02/05 12:15:00,--,银川河东,2020/02/05 13:05:00,--,固原六盘山,取消
3U2014,华夏航空有限公司,2020/02/05 12:15:00,--,银川河东,2020/02/05 15:30:00,--,重庆江北,取消
3U2014,华夏航空有限公司,2020/02/05 13:50:00,--,固原六盘山,2020/02/05 15:30:00,--,重庆江北,取消
3U2029,--,2020/02/05 16:25:00,--,昆明长水,2020/02/05 17:30:00,--,西双版纳嘎洒,取消
3U5003,中国东方航空股份有限公司,2020/02/05 07:30:00,--,西安咸阳,2020/02/05 10:00:00,--,沈阳桃仙,取消
3U5004,中国东方航空股份有限公司,2020/02/05 10:50:00,--,沈阳桃仙,2020/02/05 14:15:00,--,西安咸阳,取消
3U5007,中国东方航空股份有限公司,2020/02/05 15:25:00,2020/02/05 15:55:00,西安咸阳,2020/02/05 18:00:00,2020/02/05 18:02:00,昆明长水,到达
3U5008,--,2020/02/05 00:09:00,--,重庆江北,2020/02/05 00:39:00,--,西安咸阳,取消
3U5008,中国东方航空股份有限公司,2020/02/05 19:10:00,2020/02/05 19:05:00,昆明长水,2020/02/05 21:35:00,2020/02/05 20:47:00,西安咸阳,到达
3U5009,中国东方航空股份有限公司,2020/02/05 12:05:00,2020/02/05 11:59:00,上海虹桥,2020/02/05 15:35:00,2020/02/05 15:00:00,成都双流,到达
3U5010,中国东方航空股份有限公司,2020/02/05 08:10:00,2020/02/05 08:07:00,成都双流,2020/02/05 10:45:00,2020/02/05 10:17:00,上海虹桥,到达
3U5011,中国东方航空股份有限公司,2020/02/05 16:25:00,--,西安咸阳,2020/02/05 18:40:00,--,杭州萧山,取消
3U5012,中国东方航空股份有限公司,2020/02/05 19:45:00,--,杭州萧山,2020/02/05 22:30:00,--,西安咸阳,取消
3U5013,中国东方航空股份有限公司,2020/02/05 18:15:00,--,成都双流,2020/02/05 20:20:00,--,合肥新桥,取消
3U5014,中国东方航空股份有限公司,2020/02/05 21:20:00,--,合肥新桥,2020/02/06 00:05:00,--,成都双流,取消
3U5020,中国东方航空股份有限公司,2020/02/05 22:30:00,2020/02/05 22:27:00,成都双流,2020/02/06 00:10:00,2020/02/05 23:52:00,西宁曹家堡,到达
3U5024,中国东方航空股份有限公司,2020/02/05 22:40:00,--,昆明长水,2020/02/06 00:55:00,--,西安咸阳,取消
3U5027,中国东方航空股份有限公司,2020/02/05 07:55:00,--,西安咸阳,2020/02/05 09:45:00,--,南京禄口,取消
3U5030,中国东方航空股份有限公司,2020/02/05 21:15:00,--,西安咸阳,2020/02/05 23:45:00,--,温州龙湾,取消
3U5031,中国东方航空股份有限公司,2020/02/05 06:10:00,--,青岛流亭,2020/02/05 08:20:00,--,西安咸阳,取消
3U5033,中国东方航空股份有限公司,2020/02/05 07:40:00,--,成都双流,2020/02/05 09:00:00,--,兰州中川,取消
3U5037,中国东方航空股份有限公司,2020/02/05 18:55:00,--,上海虹桥,2020/02/05 21:50:00,--,重庆江北,取消
3U5038,中国东方航空股份有限公司,2020/02/05 17:10:00,--,重庆江北,2020/02/05 19:35:00,--,上海虹桥,取消
3U5045,中国东方航空股份有限公司,2020/02/05 08:05:00,--,南京禄口,2020/02/05 11:20:00,--,昆明长水,取消
3U5046,中国东方航空股份有限公司,2020/02/05 08:00:00,2020/02/05 07:54:00,昆明长水,2020/02/05 10:35:00,2020/02/05 10:03:00,南京禄口,到达
3U5048,中国东方航空股份有限公司,2020/02/05 09:30:00,--,昆明长水,2020/02/05 12:20:00,--,南京禄口,取消
3U5049,中国东方航空股份有限公司,2020/02/05 11:40:00,2020/02/05 11:40:00,南京禄口,2020/02/05 15:10:00,2020/02/05 14:33:00,昆明长水,到达
3U5050,中国东方航空股份有限公司,2020/02/05 12:50:00,--,昆明长水,2020/02/05 15:25:00,--,南京禄口,取消
3U5051,中国东方航空股份有限公司,2020/02/05 12:50:00,--,南京禄口,2020/02/05 16:10:00,--,昆明长水,取消
3U5057,中国东方航空股份有限公司,2020/02/05 13:50:00,--,南京禄口,2020/02/05 17:20:00,--,昆明长水,取消
3U5058,中国东方航空股份有限公司,2020/02/05 16:15:00,2020/02/05 16:23:00,昆明长水,2020/02/05 19:00:00,2020/02/05 18:28:00,南京禄口,到达
3U5074,中国东方航空股份有限公司,2020/02/05 18:25:00,--,西安咸阳,2020/02/05 20:25:00,--,南京禄口,取消
3U5075,中国东方航空股份有限公司,2020/02/05 07:20:00,--,南京禄口,2020/02/05 09:40:00,--,西安咸阳,取消
3U5076,中国东方航空股份有限公司,2020/02/05 10:50:00,--,西安咸阳,2020/02/05 12:40:00,--,南京禄口,取消
3U5081,中国东方航空股份有限公司,2020/02/05 07:00:00,2020/02/05 06:59:00,常州奔牛,2020/02/05 09:30:00,2020/02/05 09:18:00,重庆江北,到达
3U5082,中国东方航空股份有限公司,2020/02/05 22:45:00,--,重庆江北,2020/02/06 00:55:00,--,常州奔牛,取消
3U5087,中国东方航空股份有限公司,2020/02/05 07:10:00,--,无锡硕放,2020/02/05 09:50:00,--,重庆江北,取消
